carat,cut,color,clarity,depth,table,price,x,y,z,Volume_Proxy,Carat_Per_Volume,Carat_Group,Allowed_Lower,Allowed_Upper,Suspicious_Volume
1.22,Premium,J,SI2,62.6,59.0,3156,6.79,4.24,3.76,108.24889599999999,0.01127032279386942,1.00-1.49,112.44003539999997,268.9943256,True
1.07,Ideal,F,SI1,60.6,57.0,5909,6.62,6.67,1.07,47.246278000000004,0.022647286628589027,1.00-1.49,112.44003539999997,268.9943256,True
1.12,Premium,H,VS1,61.6,58.0,6115,6.64,4.11,3.7,100.97448000000001,0.011091911540420905,1.00-1.49,112.44003539999997,268.9943256,True
1.51,Fair,H,VS2,65.6,56.0,7188,7.08,4.7,4.0,133.104,0.01134451256160596,1.50-1.99,167.255928,363.62941056000005,True
1.53,Ideal,I,SI1,61.9,54.0,8971,7.43,7.5,1.53,85.25925,0.017945266935845673,1.50-1.99,167.255928,363.62941056000005,True
1.41,Ideal,H,VS1,60.7,56.0,9752,7.31,7.22,1.41,74.417262,0.018947216843317887,1.00-1.49,112.44003539999997,268.9943256,True
2.0,Premium,H,SI2,58.9,57.0,12210,8.09,58.9,8.06,3840.5980600000003,0.0005207522288859355,2.00-2.99,222.13261728,494.85176129999996,True
2.0,Premium,G,SI1,59.0,62.0,14918,6.16,6.15,4.82,182.60088000000002,0.010952849734349582,2.00-2.99,222.13261728,494.85176129999996,True
2.06,Premium,H,SI2,60.0,60.0,16098,6.29,6.25,4.96,194.99,0.010564644340735422,2.00-2.99,222.13261728,494.85176129999996,True
0.2,Premium,D,VS2,62.3,60.0,367,3.73,3.68,2.31,31.707984,0.00630755963545333,0.20-0.39,32.027996,78.90908999999999,True
0.34,Good,E,VS2,57.0,61.0,816,6.65,4.61,2.64,80.93316000000002,0.0042009974650687055,0.20-0.39,32.027996,78.90908999999999,True
0.39,Premium,H,SI2,61.2,58.0,468,4.51,6.02,4.44,120.546888,0.0032352556459192875,0.20-0.39,32.027996,78.90908999999999,True
0.35,Premium,J,VS1,62.4,58.0,949,5.67,5.64,3.53,112.88516399999997,0.0031004960049488884,0.20-0.39,32.027996,78.90908999999999,True
0.35,Premium,J,VS1,62.4,58.0,949,5.67,5.64,3.53,112.88516399999997,0.0031004960049488884,0.20-0.39,32.027996,78.90908999999999,True
0.25,Premium,G,SI2,59.0,60.0,1186,5.33,5.28,3.12,87.80428800000001,0.002847241355684132,0.20-0.39,32.027996,78.90908999999999,True
0.25,Premium,G,SI2,58.8,60.0,1186,5.33,5.28,3.12,87.80428800000001,0.002847241355684132,0.20-0.39,32.027996,78.90908999999999,True
0.35,Fair,G,VS2,65.9,54.0,1415,5.57,5.53,3.66,112.73568600000002,0.0031046070008391127,0.20-0.39,32.027996,78.90908999999999,True
0.35,Fair,G,VS2,65.9,54.0,1415,5.57,5.53,3.66,112.73568600000002,0.0031046070008391127,0.20-0.39,32.027996,78.90908999999999,True
0.51,Very Good,E,VS1,61.8,54.7,1970,5.12,5.15,31.8,838.5024000000001,0.0006082272394211393,0.40-0.59,46.37311,120.33178560000002,True
0.51,Ideal,E,VS1,61.8,55.0,2075,5.15,31.8,5.12,838.5024000000001,0.0006082272394211393,0.40-0.59,46.37311,120.33178560000002,True
0.5,Very Good,G,VVS1,63.7,58.0,2180,5.01,5.04,5.06,127.76702399999999,0.00391337282771805,0.40-0.59,46.37311,120.33178560000002,True
