carat,cut,color,clarity,depth,table,price,x,y,z,Volume_Proxy,Carat_Group,P10,Median,P90,Tolerance_Lower,Tolerance_Upper,Below_Volume_Limit,Above_Volume_Limit,Suspicious_Volume,Volume_Flag_Reason
1.22,Premium,J,SI2,62.6,59.0,3156,6.79,4.24,3.76,108.24889599999999,1.00-1.49,160.62862199999998,174.54932999999997,206.918712,112.44003539999997,268.9943256,True,False,True,Volume too small for carat weight
1.07,Ideal,F,SI1,60.6,57.0,5909,6.62,6.67,1.07,47.246278000000004,1.00-1.49,160.62862199999998,174.54932999999997,206.918712,112.44003539999997,268.9943256,True,False,True,Volume too small for carat weight
1.12,Premium,H,VS1,61.6,58.0,6115,6.64,4.11,3.7,100.97448000000001,1.00-1.49,160.62862199999998,174.54932999999997,206.918712,112.44003539999997,268.9943256,True,False,True,Volume too small for carat weight
1.51,Fair,H,VS2,65.6,56.0,7188,7.08,4.7,4.0,133.104,1.50-1.99,238.93704000000002,249.575469,279.7149312,167.255928,363.62941056000005,True,False,True,Volume too small for carat weight
1.53,Ideal,I,SI1,61.9,54.0,8971,7.43,7.5,1.53,85.25925,1.50-1.99,238.93704000000002,249.575469,279.7149312,167.255928,363.62941056000005,True,False,True,Volume too small for carat weight
1.41,Ideal,H,VS1,60.7,56.0,9752,7.31,7.22,1.41,74.417262,1.00-1.49,160.62862199999998,174.54932999999997,206.918712,112.44003539999997,268.9943256,True,False,True,Volume too small for carat weight
2.0,Premium,H,SI2,58.9,57.0,12210,8.09,58.9,8.06,3840.5980600000003,2.00-2.99,317.33231040000004,333.6052515,380.655201,222.13261728,494.85176129999996,False,True,True,Volume too large for carat weight
2.0,Premium,G,SI1,59.0,62.0,14918,6.16,6.15,4.82,182.60088000000002,2.00-2.99,317.33231040000004,333.6052515,380.655201,222.13261728,494.85176129999996,True,False,True,Volume too small for carat weight
2.06,Premium,H,SI2,60.0,60.0,16098,6.29,6.25,4.96,194.99,2.00-2.99,317.33231040000004,333.6052515,380.655201,222.13261728,494.85176129999996,True,False,True,Volume too small for carat weight
0.2,Premium,D,VS2,62.3,60.0,367,3.73,3.68,2.31,31.707984,0.20-0.39,45.75428,52.022345,60.699299999999994,32.027996,78.90908999999999,True,False,True,Volume too small for carat weight
0.34,Good,E,VS2,57.0,61.0,816,6.65,4.61,2.64,80.93316000000002,0.20-0.39,45.75428,52.022345,60.699299999999994,32.027996,78.90908999999999,False,True,True,Volume too large for carat weight
0.39,Premium,H,SI2,61.2,58.0,468,4.51,6.02,4.44,120.546888,0.20-0.39,45.75428,52.022345,60.699299999999994,32.027996,78.90908999999999,False,True,True,Volume too large for carat weight
0.35,Premium,J,VS1,62.4,58.0,949,5.67,5.64,3.53,112.88516399999997,0.20-0.39,45.75428,52.022345,60.699299999999994,32.027996,78.90908999999999,False,True,True,Volume too large for carat weight
0.35,Premium,J,VS1,62.4,58.0,949,5.67,5.64,3.53,112.88516399999997,0.20-0.39,45.75428,52.022345,60.699299999999994,32.027996,78.90908999999999,False,True,True,Volume too large for carat weight
0.25,Premium,G,SI2,59.0,60.0,1186,5.33,5.28,3.12,87.80428800000001,0.20-0.39,45.75428,52.022345,60.699299999999994,32.027996,78.90908999999999,False,True,True,Volume too large for carat weight
0.25,Premium,G,SI2,58.8,60.0,1186,5.33,5.28,3.12,87.80428800000001,0.20-0.39,45.75428,52.022345,60.699299999999994,32.027996,78.90908999999999,False,True,True,Volume too large for carat weight
0.35,Fair,G,VS2,65.9,54.0,1415,5.57,5.53,3.66,112.73568600000002,0.20-0.39,45.75428,52.022345,60.699299999999994,32.027996,78.90908999999999,False,True,True,Volume too large for carat weight
0.35,Fair,G,VS2,65.9,54.0,1415,5.57,5.53,3.66,112.73568600000002,0.20-0.39,45.75428,52.022345,60.699299999999994,32.027996,78.90908999999999,False,True,True,Volume too large for carat weight
0.51,Very Good,E,VS1,61.8,54.7,1970,5.12,5.15,31.8,838.5024000000001,0.40-0.59,66.2473,82.19081000000001,92.56291200000001,46.37311,120.33178560000002,False,True,True,Volume too large for carat weight
0.51,Ideal,E,VS1,61.8,55.0,2075,5.15,31.8,5.12,838.5024000000001,0.40-0.59,66.2473,82.19081000000001,92.56291200000001,46.37311,120.33178560000002,False,True,True,Volume too large for carat weight
0.5,Very Good,G,VVS1,63.7,58.0,2180,5.01,5.04,5.06,127.76702399999999,0.40-0.59,66.2473,82.19081000000001,92.56291200000001,46.37311,120.33178560000002,False,True,True,Volume too large for carat weight
