carat,Carat_Group,clarity,cut,color,price,x,y,z,Volume_Proxy,Carat_Per_Volume,Mismatch_Features
0.21,0.20-0.39,SI1,Premium,E,326,3.89,3.84,2.31,34.505856,0.006085923502375944,z; 
0.23,0.20-0.39,VS1,Good,E,327,4.05,4.07,2.31,38.076885,0.006040410080814122,z; 
0.22,0.20-0.39,SI1,Premium,F,342,3.88,3.84,2.33,34.715136,0.0063372933351031665,z; 
0.2,0.20-0.39,SI2,Premium,E,345,3.79,3.75,2.27,32.262375,0.006199171635690182,z; 
0.22,0.20-0.39,VS2,Premium,D,404,3.91,3.88,2.31,35.044548,0.006277723998608857,z; 
0.91,0.80-0.99,SI1,Premium,H,2763,6.09,5.97,3.7,134.52201,0.006764692261140018,Carat_Per_Volume; 
1.0,1.00-1.49,VS2,Fair,J,2811,6.14,6.07,4.01,149.45189799999997,0.006691116094089351,Carat_Per_Volume; 
0.33,0.20-0.39,SI2,Ideal,H,554,4.85,4.79,2.95,68.53292499999999,0.0048152037870848215,Carat_Per_Volume; 
0.96,0.80-0.99,SI2,Fair,E,2815,6.73,6.65,3.55,158.878475,0.0060423540696749505,x; 
0.98,0.80-0.99,SI2,Fair,E,2855,6.82,6.74,3.61,165.94014800000002,0.00590574379866167,x; 
1.0,1.00-1.49,SI2,Fair,G,2856,5.96,5.9,4.02,141.35927999999998,0.007074172986732814,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Fair,H,2856,6.21,5.97,4.04,149.77774799999997,0.006676559190888624,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,H,2873,6.14,6.07,4.0,149.0792,0.006707843884324574,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Fair,H,2875,6.11,5.98,4.09,149.439602,0.006691666644026527,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,I,2875,6.08,6.03,4.01,147.01622400000002,0.006801970373011348,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Fair,D,2974,5.96,5.87,4.1,143.43931999999998,0.0069715891012311,Carat_Per_Volume; 
0.81,0.80-0.99,SI1,Ideal,I,3043,6.27,6.23,3.83,149.607843,0.0054141546576538776,Carat_Per_Volume; 
1.01,1.00-1.49,SI2,Fair,I,3054,6.21,6.04,4.05,151.90902,0.006648716448832334,Carat_Per_Volume; 
1.0,1.00-1.49,VS1,Fair,J,3080,6.07,6.03,4.03,147.506463,0.006779363965902972,Carat_Per_Volume; 
0.81,0.80-0.99,SI1,Ideal,I,3097,6.23,6.27,3.83,149.607843,0.0054141546576538776,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Fair,E,3136,6.07,6.01,4.02,146.652414,0.006818844454889096,Carat_Per_Volume; 
1.22,1.00-1.49,SI2,Premium,J,3156,6.79,4.24,3.76,108.24889599999999,0.01127032279386942,y; Carat_Per_Volume; 
1.01,1.00-1.49,SI2,Fair,G,3173,6.08,6.0,4.14,151.0272,0.00668753707941351,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Very Good,J,3293,6.26,6.19,3.19,123.610586,0.00808992200716531,z; Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Premium,H,3360,6.24,6.17,3.71,142.837968,0.007000939694129505,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,F,3387,6.06,5.88,4.11,146.450808,0.006828231360799321,Carat_Per_Volume; 
1.02,1.00-1.49,SI2,Good,H,3427,6.32,6.26,3.68,145.592576,0.007005851726945198,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Good,E,3450,6.18,6.11,3.95,149.15121,0.00670460534648026,Carat_Per_Volume; 
1.01,1.00-1.49,I1,Good,E,3484,6.28,6.21,3.84,149.755392,0.006744331449514686,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Fair,H,3546,6.12,6.08,4.05,150.69888,0.006702106876972144,Carat_Per_Volume; 
0.99,0.80-0.99,VS2,Fair,H,3593,5.94,5.8,4.2,144.6984,0.0068418171866447735,Carat_Per_Volume; 
1.01,1.00-1.49,SI2,Fair,F,3597,6.09,6.03,4.08,149.828616,0.0067410353707064875,Carat_Per_Volume; 
1.01,1.00-1.49,SI2,Fair,F,3597,6.14,6.05,4.06,150.81681999999998,0.006696865773989931,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,F,3669,6.07,5.99,4.02,146.164386,0.00684161188211744,Carat_Per_Volume; 
1.01,1.00-1.49,SI2,Good,D,3671,6.13,6.06,3.89,144.504942,0.006989380335518214,Carat_Per_Volume; 
1.01,1.00-1.49,SI2,Premium,H,3676,6.22,6.18,3.82,146.839272,0.006878268914326953,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,G,3700,6.1,6.03,4.01,147.49983,0.006779668830804754,Carat_Per_Volume; 
1.01,1.00-1.49,VS2,Premium,J,3722,6.28,6.22,3.81,148.824696,0.006786508067182614,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Fair,E,3763,6.01,5.94,4.12,147.08152800000002,0.006798950307342468,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Fair,D,3767,6.1,6.01,3.97,145.54416999999998,0.006870766448425932,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,G,3833,6.02,5.94,4.08,145.895904,0.006854202020640689,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Good,F,3858,6.36,6.29,3.76,150.41654400000002,0.006648204867677321,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,G,3965,6.02,5.93,4.08,145.650288,0.006865760540068414,Carat_Per_Volume; 
1.36,1.00-1.49,SI2,Fair,J,4158,6.73,6.66,4.54,203.49097200000003,0.0066833431804532335,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Fair,E,4181,6.23,6.11,3.99,151.88054700000004,0.006649962881684906,Carat_Per_Volume; 
1.01,1.00-1.49,VS2,Very Good,H,4208,6.18,6.15,3.89,147.84723,0.006831375873596009,Carat_Per_Volume; 
1.0,1.00-1.49,SI2,Fair,E,4265,6.09,6.02,3.99,146.280582,0.006836177340338993,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Good,F,4276,6.21,6.16,3.97,151.866792,0.006650565187417668,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Fair,F,4276,6.16,6.1,4.04,151.80704,0.00665318288269108,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Fair,F,4276,6.06,6.0,4.05,147.25799999999998,0.006858710562414267,Carat_Per_Volume; 
1.0,1.00-1.49,VS2,Fair,F,4312,5.98,5.95,4.08,145.17048000000003,0.006888452803903382,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Good,D,4312,6.18,6.13,3.96,150.018264,0.006665855032157952,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,E,4435,6.15,6.08,3.98,148.82016000000002,0.006719519720984038,Carat_Per_Volume; 
1.0,1.00-1.49,VS2,Fair,G,4435,6.03,5.94,4.18,149.720076,0.006679130993761985,Carat_Per_Volume; 
1.03,1.00-1.49,SI1,Fair,D,4441,6.18,6.13,4.03,152.67010199999999,0.0067465730782049265,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Premium,D,4469,6.23,6.19,3.87,149.241519,0.006700548256949863,Carat_Per_Volume; 
1.0,1.00-1.49,VS2,Premium,H,4514,6.36,6.3,3.7,148.2516,0.006745289764157689,Carat_Per_Volume; 
1.0,1.00-1.49,VS2,Fair,F,4656,5.97,6.1,4.13,150.40220999999997,0.006648838471190019,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,H,4665,6.03,5.95,4.05,145.307925,0.006881937100127195,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,D,4704,6.15,6.04,4.04,150.06984,0.006663564111216484,Carat_Per_Volume; 
1.0,1.00-1.49,VS2,Fair,F,4732,6.11,6.04,4.05,149.46282,0.006690627140582521,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Fair,D,4751,6.12,6.08,3.94,146.605824,0.006889221535973904,Carat_Per_Volume; 
1.01,1.00-1.49,VS2,Fair,F,4791,6.1,6.04,4.01,147.74444,0.0068361286556705625,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Fair,E,4798,6.07,6.15,4.02,150.06860999999998,0.006663618727460727,Carat_Per_Volume; 
1.0,1.00-1.49,VS2,Fair,G,4838,6.08,5.99,3.99,145.312608,0.0068817153154391115,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Good,E,4853,6.29,6.22,3.81,149.06167799999997,0.006775718706185504,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Fair,E,4853,6.0,5.94,4.15,147.906,0.006828661447135342,Carat_Per_Volume; 
1.01,1.00-1.49,VS1,Fair,G,4864,6.15,6.06,4.08,152.05751999999998,0.006642223284977948,Carat_Per_Volume; 
1.83,1.50-1.99,I1,Fair,J,5083,7.34,7.28,5.12,273.588224,0.006688884387070695,z; Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Fair,D,5122,6.05,6.1,4.02,148.35809999999995,0.006807852082225375,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Fair,D,5147,6.17,6.13,3.96,149.77551599999998,0.006743425273861184,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Premium,G,5154,6.22,6.18,3.84,147.60806399999998,0.006774697620856271,Carat_Per_Volume; 
1.02,1.00-1.49,VS2,Fair,E,5350,6.09,6.14,4.07,152.187882,0.006702241903859337,Carat_Per_Volume; 
1.0,1.00-1.49,VS2,Premium,H,5404,6.75,6.72,4.2,190.512,0.005249013185521122,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Premium,E,5544,6.33,6.25,3.79,149.941875,0.00666925100142972,Carat_Per_Volume; 
1.96,1.50-1.99,I1,Fair,F,5554,7.59,7.56,5.04,289.19721599999997,0.006777381978670224,Carat_Per_Volume; 
1.21,1.00-1.49,SI1,Premium,G,5556,6.65,6.57,3.84,167.77152,0.007212189530141945,Carat_Per_Volume; 
1.0,1.00-1.49,VS2,Premium,F,5606,6.11,6.07,3.65,135.37010500000002,0.00738715538412266,Carat_Per_Volume; 
1.01,1.00-1.49,SI1,Fair,D,5628,6.14,6.22,3.87,147.798396,0.006833633025354348,Carat_Per_Volume; 
1.5,1.50-1.99,I1,Fair,H,5645,7.02,6.96,4.58,223.77513599999997,0.006703157584049017,Carat_Per_Volume; 
1.0,1.00-1.49,SI1,Premium,D,5645,6.31,6.26,3.79,149.70727399999998,0.0066797021499436305,Carat_Per_Volume; 
1.01,1.00-1.49,VS2,Fair,G,5666,6.07,6.02,4.1,149.81973999999997,0.006741434740175095,Carat_Per_Volume; 
1.22,1.00-1.49,SI2,Ideal,H,5703,6.9,5.92,4.22,172.37856,0.0070774462903043164,Carat_Per_Volume; 
1.22,1.00-1.49,SI2,Ideal,H,5807,6.9,5.92,4.22,172.37856,0.0070774462903043164,Carat_Per_Volume; 
1.01,1.00-1.49,VS2,Fair,E,5882,6.15,6.1,4.0,150.06,0.006730641076902572,Carat_Per_Volume; 
1.01,1.00-1.49,VS2,Premium,E,5882,6.3,6.24,3.73,146.63376,0.0068879090326811505,Carat_Per_Volume; 
1.07,1.00-1.49,SI1,Ideal,F,5909,6.62,6.67,1.07,47.246278000000004,0.022647286628589027,z; Volume_Proxy; Carat_Per_Volume; 
1.01,1.00-1.49,VS2,Fair,F,6041,6.06,5.99,4.16,151.005504,0.0066884979238902445,Carat_Per_Volume; 
1.12,1.00-1.49,VS1,Premium,H,6115,6.64,4.11,3.7,100.97448000000001,0.011091911540420905,y; Carat_Per_Volume; 
1.96,1.50-1.99,I1,Fair,I,6147,7.62,7.6,5.08,294.19295999999997,0.0066622940263424395,z; 
2.49,2.00-2.99,I1,Fair,J,6289,8.26,8.18,5.45,368.23906,0.00676191167770198,Carat_Per_Volume; 
2.01,2.00-2.99,I1,Fair,G,6315,7.53,7.5,5.27,297.62325,0.006753504640514475,Carat_Per_Volume; 
1.49,1.00-1.49,I1,Fair,H,6425,6.93,6.89,4.62,220.594374,0.0067544786976298865,Carat_Per_Volume; 
1.5,1.50-1.99,SI2,Fair,G,6552,6.87,6.76,4.67,216.880404,0.0069162541766567345,Carat_Per_Volume; 
2.22,2.00-2.99,I1,Fair,H,6564,7.77,7.74,5.44,327.16051200000004,0.006785660000434282,Carat_Per_Volume; 
1.52,1.50-1.99,I1,Ideal,H,6793,7.75,7.73,4.77,285.758775,0.005319171738470673,Carat_Per_Volume; 
2.72,2.00-2.99,I1,Fair,J,6870,8.46,8.43,5.76,410.790528,0.006621379546511842,z; 
1.83,1.50-1.99,I1,Fair,H,6887,7.47,7.44,5.07,281.774376,0.006494557901176933,z; 
1.0,1.00-1.49,VS1,Fair,D,7083,6.77,6.71,4.38,198.968946,0.005025909922646924,Carat_Per_Volume; 
1.51,1.50-1.99,VS2,Fair,H,7188,7.08,4.7,4.0,133.104,0.01134451256160596,y; z; Volume_Proxy; Carat_Per_Volume; 
1.5,1.50-1.99,SI2,Fair,D,7469,6.9,6.86,4.73,223.88982000000004,0.00669972399817017,Carat_Per_Volume; 
1.5,1.50-1.99,SI2,Fair,E,7560,6.88,6.79,4.76,222.364352,0.006745685567442033,Carat_Per_Volume; 
1.51,1.50-1.99,SI2,Premium,E,7610,7.16,7.09,4.42,224.378648,0.006729695599199796,Carat_Per_Volume; 
1.57,1.50-1.99,VS1,Fair,H,8133,7.85,5.75,3.87,174.68212499999998,0.008987754184923043,y; z; Volume_Proxy; Carat_Per_Volume; 
1.4,1.00-1.49,VS2,Fair,F,8216,6.83,6.76,4.52,208.69201599999997,0.006708450216897613,Carat_Per_Volume; 
1.51,1.50-1.99,SI1,Fair,I,8355,6.95,6.87,4.72,225.36348,0.0067002870207719546,Carat_Per_Volume; 
2.68,2.00-2.99,I1,Premium,G,8419,9.11,9.07,5.33,440.405641,0.006085298984624041,Volume_Proxy; 
1.9,1.50-1.99,SI2,Fair,H,8576,7.57,7.52,5.06,288.047584,0.0065961323945699195,z; 
1.51,1.50-1.99,SI1,Fair,G,8681,6.99,7.07,4.57,225.84620100000004,0.006685965906506436,Carat_Per_Volume; 
2.74,2.00-2.99,I1,Fair,J,8807,8.76,8.66,5.65,428.61804,0.006392638070016839,z; 
1.51,1.50-1.99,VS2,Good,H,8904,7.08,7.03,4.49,223.47807600000004,0.006756814928011103,Carat_Per_Volume; 
1.53,1.50-1.99,SI1,Ideal,I,8971,7.43,7.5,1.53,85.25925,0.017945266935845673,z; Volume_Proxy; Carat_Per_Volume; 
1.44,1.00-1.49,VS1,Good,G,9677,7.01,6.96,4.44,216.62582400000002,0.006647406913037292,Carat_Per_Volume; 
1.41,1.00-1.49,VS1,Ideal,H,9752,7.31,7.22,1.41,74.417262,0.018947216843317887,z; Volume_Proxy; Carat_Per_Volume; 
1.53,1.50-1.99,VS2,Premium,H,10889,7.57,7.6,4.71,270.97571999999997,0.005646262329333418,Carat_Per_Volume; 
1.53,1.50-1.99,VS2,Premium,H,11087,7.6,7.57,4.71,270.97571999999997,0.005646262329333418,Carat_Per_Volume; 
2.0,2.00-2.99,SI1,Premium,H,11200,7.82,7.77,4.81,292.262334,0.006843167139012857,Carat_Per_Volume; 
2.72,2.00-2.99,I1,Ideal,H,11594,9.17,9.13,5.45,456.2854450000001,0.005961180725368085,Volume_Proxy; 
0.3,0.20-0.39,VS1,Good,D,632,4.18,4.21,2.59,45.578301999999994,0.006582079341174229,Carat_Per_Volume; 
2.0,2.00-2.99,SI1,Good,J,11988,7.72,7.69,4.95,293.86566,0.006805830936489824,Carat_Per_Volume; 
2.0,2.00-2.99,SI2,Premium,H,12210,8.09,58.9,8.06,3840.5980600000003,0.0005207522288859355,y; z; Volume_Proxy; Carat_Per_Volume; 
1.98,1.50-1.99,VS1,Fair,H,12923,8.28,8.17,4.8,324.70847999999995,0.006097777304738085,x; 
2.75,2.00-2.99,I1,Ideal,D,13156,9.04,8.98,5.49,445.673808,0.006170432165042106,Volume_Proxy; 
1.98,1.50-1.99,SI1,Ideal,I,14581,8.04,8.1,5.05,328.8762,0.006020502547767215,Volume_Proxy; 
2.0,2.00-2.99,SI1,Premium,G,14918,6.16,6.15,4.82,182.60088000000002,0.010952849734349582,x; y; Volume_Proxy; Carat_Per_Volume; 
2.8,2.00-2.99,SI2,Premium,I,15030,9.03,8.98,5.5,445.9917,0.006278143741240028,Volume_Proxy; 
2.75,2.00-2.99,SI2,Premium,H,15415,8.99,8.97,5.48,441.9088440000001,0.006223002859838667,Volume_Proxy; 
2.01,2.00-2.99,SI2,Fair,G,15562,7.89,7.84,6.16,381.042816,0.005274997757732295,z; Carat_Per_Volume; 
2.06,2.00-2.99,SI2,Premium,H,16098,6.29,6.25,4.96,194.99,0.010564644340735422,x; y; Volume_Proxy; Carat_Per_Volume; 
2.71,2.00-2.99,SI2,Premium,E,17146,9.13,9.03,5.48,451.792572,0.0059983279229300825,Volume_Proxy; 
2.74,2.00-2.99,SI2,Very Good,H,17184,8.88,8.84,5.61,440.380512,0.006221892035040824,Volume_Proxy; 
2.72,2.00-2.99,SI2,Ideal,J,17801,8.97,8.93,5.56,445.367676,0.0061073134548722844,Volume_Proxy; 
2.0,2.00-2.99,SI1,Good,F,17869,7.67,7.76,4.86,289.263312,0.006914115676031532,Carat_Per_Volume; 
5.01,3.00+,I1,Fair,J,18018,10.74,10.54,6.98,790.133208,0.00634070299700655,x; 
2.01,2.00-2.99,SI1,Fair,G,18574,7.43,6.64,4.69,231.38208799999998,0.008686929992610318,y; Volume_Proxy; Carat_Per_Volume; 
0.41,0.40-0.59,SI1,Fair,H,659,4.51,4.63,2.99,62.435087,0.0065668203521523074,Carat_Per_Volume; 
0.25,0.20-0.39,VS1,Fair,E,361,4.21,4.23,2.33,41.493339000000006,0.006025063444520576,z; 
0.45,0.40-0.59,SI1,Fair,G,756,4.73,4.5,3.19,67.89915,0.0066274761907917845,Carat_Per_Volume; 
0.2,0.20-0.39,VS2,Premium,E,367,3.79,3.77,2.26,32.291557999999995,0.006193569229456196,z; 
