Feature,Importance
numeric__y,0.29842117
numeric__REG_Volume,0.24083066
numeric__REG_FaceArea,0.18267098
numeric__carat,0.06248636
categorical__clarity_I1,0.036803503
categorical__clarity_SI2,0.028129054
categorical__color_J,0.018805731
categorical__clarity_SI1,0.016221391
categorical__clarity_IF,0.015937973
categorical__clarity_VVS1,0.0141156735
numeric__x,0.013090443
categorical__clarity_VVS2,0.012205605
categorical__color_I,0.011929596
categorical__clarity_VS1,0.007177786
categorical__clarity_VS2,0.007073148
categorical__color_H,0.006327974
categorical__color_D,0.005575156
numeric__z,0.0042912075
categorical__color_E,0.0035231777
categorical__color_F,0.002307687
categorical__cut_Ideal,0.0022657637
categorical__cut_Fair,0.0017591919
categorical__color_G,0.0017578012
categorical__cut_Good,0.0013085495
categorical__cut_Very Good,0.0010378748
numeric__REG_WeightPerFace,0.0010033762
categorical__cut_Premium,0.00061292975
numeric__depth,0.000413116
numeric__table,0.00036070813
numeric__REG_TableDepthRatio,0.0003393668
numeric__REG_DepthToFace,0.00033769233
numeric__REG_WeightPerVolume,0.00030532893
numeric__REG_AspectRatio,0.00029048804
numeric__REG_XYAsymmetry,0.0002835921
