Feature,Importance
categorical__CaratGroup_Color_1.00-1.49_G,0.090641744
categorical__Carat_Group_1.00-1.49,0.04271633
categorical__CaratGroup_Color_1.00-1.49_F,0.041865423
categorical__CaratGroup_Color_0.40-0.59_E,0.04156927
categorical__CaratGroup_Color_0.20-0.39_D,0.037170645
numeric__carat,0.034280293
categorical__color_D,0.033763632
categorical__Carat_Group_0.80-0.99,0.03302889
categorical__CaratGroup_Color_0.40-0.59_G,0.025140926
categorical__Carat_Group_0.20-0.39,0.022565672
categorical__color_G,0.021695
categorical__CaratGroup_Color_0.80-0.99_D,0.020731501
categorical__CaratGroup_Color_1.00-1.49_H,0.020495493
categorical__CaratGroup_Color_1.00-1.49_D,0.01990823
categorical__CaratGroup_Color_1.00-1.49_I,0.019552736
categorical__CaratGroup_Color_0.60-0.79_I,0.019464992
categorical__color_E,0.018298253
categorical__CaratGroup_Color_0.20-0.39_G,0.01574669
categorical__Carat_Group_1.50-1.99,0.015463303
categorical__CaratGroup_Color_0.80-0.99_E,0.015131594
categorical__CaratGroup_Color_0.40-0.59_D,0.014952712
categorical__CaratGroup_Color_1.00-1.49_E,0.014297663
categorical__color_J,0.013755211
categorical__CaratGroup_Color_0.80-0.99_F,0.01370743
categorical__CaratGroup_Color_1.50-1.99_E,0.01355006
numeric__x,0.013447554
categorical__color_I,0.013107211
categorical__CaratGroup_Color_2.00-2.99_I,0.012747584
categorical__CaratGroup_Color_1.50-1.99_D,0.012538492
categorical__CaratGroup_Color_2.00-2.99_J,0.011814852
categorical__CaratGroup_Color_0.40-0.59_I,0.011562876
categorical__CaratGroup_Color_1.50-1.99_J,0.011557908
numeric__z,0.011497899
categorical__CaratGroup_Color_0.60-0.79_E,0.01142893
categorical__CaratGroup_Color_0.80-0.99_I,0.011383631
categorical__Carat_Group_2.00-2.99,0.010837564
numeric__Volume_Proxy,0.010087817
categorical__CaratGroup_Color_1.00-1.49_J,0.009562846
numeric__y,0.009106349
categorical__CaratGroup_Color_0.60-0.79_H,0.009058246
categorical__color_H,0.008945007
categorical__CaratGroup_Color_0.80-0.99_G,0.008797169
categorical__CaratGroup_Color_0.20-0.39_I,0.008466337
categorical__Carat_Group_0.40-0.59,0.008461792
categorical__CaratGroup_Color_0.40-0.59_F,0.008456718
categorical__CaratGroup_Color_1.50-1.99_G,0.008329074
categorical__CaratGroup_Color_0.60-0.79_D,0.008263927
categorical__CaratGroup_Color_0.80-0.99_H,0.008219641
categorical__CaratGroup_Color_0.20-0.39_J,0.0078208465
categorical__CaratGroup_Color_0.20-0.39_E,0.0069131907
categorical__CaratGroup_Color_0.20-0.39_H,0.0065527232
categorical__CaratGroup_Color_1.50-1.99_F,0.006399813
categorical__CaratGroup_Color_0.20-0.39_F,0.0063521764
categorical__color_F,0.006314808
categorical__CaratGroup_Color_0.40-0.59_J,0.0063076247
categorical__CaratGroup_Color_1.50-1.99_H,0.006095249
categorical__CaratGroup_Color_0.40-0.59_H,0.0059596794
categorical__CaratGroup_Color_1.50-1.99_I,0.0058374484
categorical__CaratGroup_Color_2.00-2.99_F,0.0057151043
categorical__CaratGroup_Color_2.00-2.99_G,0.005551488
categorical__CaratGroup_Color_0.80-0.99_J,0.004178772
categorical__CaratGroup_Color_0.60-0.79_G,0.0040551336
categorical__CaratGroup_Color_0.60-0.79_F,0.0036749342
categorical__Carat_Group_0.60-0.79,0.003534389
categorical__CaratGroup_Color_2.00-2.99_E,0.003459588
categorical__CaratGroup_Color_2.00-2.99_H,0.003436822
categorical__CaratGroup_Color_0.60-0.79_J,0.0027458041
categorical__CaratGroup_Color_2.00-2.99_D,0.0019213287
categorical__Carat_Group_3.00+,0.0
categorical__CaratGroup_Color_3.00+_F,0.0
categorical__CaratGroup_Color_3.00+_E,0.0
categorical__CaratGroup_Color_3.00+_D,0.0
categorical__CaratGroup_Color_3.00+_G,0.0
categorical__CaratGroup_Color_3.00+_J,0.0
categorical__CaratGroup_Color_3.00+_H,0.0
categorical__CaratGroup_Color_3.00+_I,0.0
