Carat_Group,color,HIGH,LOW,MEDIUM,Medium_Diamonds,Misroute_Rate
0.40-0.59,I,100.0,0.0,0.0,43,100.0
1.00-1.49,D,0.0,100.0,0.0,54,100.0
1.00-1.49,E,0.0,100.0,0.0,76,100.0
1.00-1.49,H,0.0,100.0,0.0,145,100.0
1.50-1.99,E,0.0,100.0,0.0,20,100.0
0.80-0.99,F,0.0,100.0,0.0,34,100.0
0.80-0.99,G,0.0,100.0,0.0,38,100.0
0.80-0.99,E,0.0,100.0,0.0,30,100.0
0.40-0.59,G,98.49246231155779,0.0,1.507537688442211,199,98.49246231155779
0.20-0.39,H,97.43589743589743,0.641025641025641,1.9230769230769231,156,98.07692307692308
0.20-0.39,G,97.24770642201835,0.0,2.7522935779816518,218,97.24770642201835
1.00-1.49,I,0.0,95.74468085106383,4.25531914893617,94,95.74468085106383
0.60-0.79,H,28.125,62.5,9.375,64,90.625
0.40-0.59,H,85.18518518518519,4.938271604938271,9.876543209876543,81,90.12345679012346
0.60-0.79,D,2.898550724637681,86.95652173913044,10.144927536231885,69,89.85507246376811
0.20-0.39,F,87.43961352657004,2.4154589371980677,10.144927536231885,207,89.85507246376811
1.00-1.49,F,8.38709677419355,77.41935483870968,14.193548387096774,155,85.80645161290323
0.20-0.39,I,78.16091954022988,4.597701149425287,17.24137931034483,87,82.75862068965517
0.60-0.79,E,0.0,81.74603174603175,18.253968253968253,126,81.74603174603175
0.60-0.79,F,9.195402298850574,71.26436781609196,19.54022988505747,87,80.45977011494253
2.00-2.99,I,0.0,79.41176470588235,20.588235294117645,34,79.41176470588235
1.50-1.99,F,0.0,76.92307692307693,23.076923076923077,52,76.92307692307692
0.60-0.79,I,64.93506493506493,6.493506493506493,28.57142857142857,77,71.42857142857143
2.00-2.99,J,0.0,67.85714285714286,32.142857142857146,28,67.85714285714286
1.00-1.49,J,0.0,67.21311475409836,32.78688524590164,61,67.21311475409837
0.20-0.39,E,60.68702290076335,3.435114503816794,35.87786259541985,262,64.12213740458014
1.50-1.99,H,0.0,61.19402985074627,38.80597014925373,67,61.19402985074627
0.60-0.79,G,12.5,35.41666666666667,52.083333333333336,96,47.916666666666664
0.80-0.99,H,0.0,47.82608695652174,52.17391304347826,46,47.82608695652174
0.40-0.59,F,37.278106508875744,2.366863905325444,60.35502958579882,169,39.64497041420118
1.00-1.49,G,22.65625,8.984375,68.359375,256,31.640625
0.80-0.99,I,0.0,29.72972972972973,70.27027027027027,37,29.729729729729726
0.40-0.59,E,19.838056680161944,6.0728744939271255,74.08906882591093,247,25.91093117408907
1.50-1.99,I,0.0,25.757575757575758,74.24242424242425,66,25.75757575757575
0.40-0.59,D,10.759493670886076,14.556962025316455,74.68354430379746,158,25.31645569620254
0.20-0.39,D,11.409395973154362,12.751677852348994,75.83892617449665,149,24.16107382550335
1.50-1.99,J,11.363636363636363,9.090909090909092,79.54545454545455,44,20.454545454545453
0.20-0.39,J,16.129032258064516,0.0,83.87096774193549,31,16.129032258064512
0.60-0.79,J,0.0,10.344827586206897,89.65517241379311,29,10.34482758620689
0.40-0.59,J,10.0,0.0,90.0,50,10.0
1.50-1.99,G,0.0,3.7037037037037033,96.29629629629629,81,3.7037037037037095
