Carat_Group,color,HIGH,LOW,MEDIUM,Diamonds,Dominant_Region,Dominant_Region_Pct
0.20-0.39,D,23.618090452261306,38.94472361809046,37.437185929648244,398,LOW,38.94472361809046
0.20-0.39,E,35.50087873462214,18.45342706502636,46.04569420035149,569,MEDIUM,46.04569420035149
0.20-0.39,F,43.15789473684211,13.263157894736842,43.57894736842105,475,MEDIUM,43.57894736842105
0.20-0.39,G,45.878136200716845,15.053763440860216,39.06810035842294,558,HIGH,45.878136200716845
0.20-0.39,H,41.221374045801525,19.083969465648856,39.69465648854962,393,HIGH,41.221374045801525
0.20-0.39,I,36.633663366336634,20.2970297029703,43.06930693069307,202,MEDIUM,43.06930693069307
0.20-0.39,J,9.523809523809524,16.666666666666664,73.80952380952381,42,MEDIUM,73.80952380952381
0.40-0.59,D,11.891891891891893,45.40540540540541,42.7027027027027,370,LOW,45.40540540540541
0.40-0.59,E,15.2014652014652,39.56043956043956,45.23809523809524,546,MEDIUM,45.23809523809524
0.40-0.59,F,26.72811059907834,34.331797235023046,38.94009216589861,434,MEDIUM,38.94009216589861
0.40-0.59,G,36.254980079681275,24.10358565737052,39.6414342629482,502,MEDIUM,39.6414342629482
0.40-0.59,H,28.971962616822427,33.177570093457945,37.850467289719624,214,MEDIUM,37.850467289719624
0.40-0.59,I,44.53125,21.875,33.59375,128,HIGH,44.53125
0.40-0.59,J,11.688311688311687,23.376623376623375,64.93506493506493,77,MEDIUM,64.93506493506493
0.60-0.79,D,8.45771144278607,57.2139303482587,34.32835820895522,201,LOW,57.2139303482587
0.60-0.79,E,7.931034482758621,48.62068965517241,43.44827586206896,290,LOW,48.62068965517241
0.60-0.79,F,10.28368794326241,58.86524822695035,30.851063829787233,282,LOW,58.86524822695035
0.60-0.79,G,17.46031746031746,44.44444444444444,38.095238095238095,252,LOW,44.44444444444444
0.60-0.79,H,20.11173184357542,44.134078212290504,35.754189944134076,179,LOW,44.134078212290504
0.60-0.79,I,19.463087248322147,28.859060402684566,51.67785234899329,149,MEDIUM,51.67785234899329
0.60-0.79,J,5.084745762711865,45.76271186440678,49.152542372881356,59,MEDIUM,49.152542372881356
0.80-0.99,D,2.4390243902439024,78.04878048780488,19.51219512195122,82,LOW,78.04878048780488
0.80-0.99,E,6.015037593984962,71.42857142857143,22.55639097744361,133,LOW,71.42857142857143
0.80-0.99,F,4.320987654320987,74.69135802469135,20.98765432098765,162,LOW,74.69135802469135
0.80-0.99,G,9.848484848484848,61.36363636363637,28.78787878787879,132,LOW,61.36363636363637
0.80-0.99,H,6.451612903225806,56.451612903225815,37.096774193548384,124,LOW,56.451612903225815
0.80-0.99,I,3.896103896103896,48.05194805194805,48.05194805194805,77,LOW,48.05194805194805
0.80-0.99,J,5.714285714285714,45.714285714285715,48.57142857142857,35,MEDIUM,48.57142857142857
1.00-1.49,D,13.304721030042918,63.519313304721024,23.17596566523605,233,LOW,63.519313304721024
1.00-1.49,E,12.861736334405144,62.70096463022507,24.437299035369776,311,LOW,62.70096463022507
1.00-1.49,F,15.835140997830802,50.542299349240785,33.622559652928416,461,LOW,50.542299349240785
1.00-1.49,G,16.483516483516482,36.63003663003663,46.88644688644688,546,MEDIUM,46.88644688644688
1.00-1.49,H,3.1446540880503147,66.45702306079664,30.398322851153043,477,LOW,66.45702306079664
1.00-1.49,I,3.1914893617021276,63.47517730496454,33.33333333333333,282,LOW,63.47517730496454
1.00-1.49,J,4.2682926829268295,58.536585365853654,37.19512195121951,164,LOW,58.536585365853654
1.50-1.99,D,0.0,70.2127659574468,29.78723404255319,47,LOW,70.2127659574468
1.50-1.99,E,1.25,73.75,25.0,80,LOW,73.75
1.50-1.99,F,1.8867924528301887,49.056603773584904,49.056603773584904,106,LOW,49.056603773584904
1.50-1.99,G,13.636363636363635,40.340909090909086,46.02272727272727,176,MEDIUM,46.02272727272727
1.50-1.99,H,7.954545454545454,53.97727272727273,38.06818181818182,176,LOW,53.97727272727273
1.50-1.99,I,8.552631578947368,48.026315789473685,43.42105263157895,152,LOW,48.026315789473685
1.50-1.99,J,5.434782608695652,46.73913043478261,47.82608695652174,92,MEDIUM,47.82608695652174
2.00-2.99,D,0.0,100.0,0.0,12,LOW,100.0
2.00-2.99,E,0.0,100.0,0.0,20,LOW,100.0
2.00-2.99,F,0.0,100.0,0.0,21,LOW,100.0
2.00-2.99,G,0.0,90.74074074074075,9.25925925925926,54,LOW,90.74074074074075
2.00-2.99,H,0.0,93.39622641509435,6.60377358490566,106,LOW,93.39622641509435
2.00-2.99,I,1.7241379310344827,68.96551724137932,29.310344827586203,116,LOW,68.96551724137932
2.00-2.99,J,2.7027027027027026,59.45945945945946,37.83783783783784,74,LOW,59.45945945945946
3.00+,H,0.0,100.0,0.0,2,LOW,100.0
3.00+,I,0.0,100.0,0.0,3,LOW,100.0
3.00+,J,0.0,75.0,25.0,4,LOW,75.0
