Dropped_Feature,Kept_Feature,Correlation,Absolute_Correlation
x,carat,0.9781007835167816,0.9781007835167816
y,carat,0.9772595487698256,0.9772595487698256
z,carat,0.9766854393033033,0.9766854393033033
Y21_FaceArea,carat,0.992210060680408,0.992210060680408
Y21_Volume,carat,0.9989971335452085,0.9989971335452085
Y21_FaceDiagonal,carat,0.9780048637974399,0.9780048637974399
Y21_XZRatio,depth,-0.7655912981125559,0.7655912981125559
Y21_YZRatio,depth,-0.7726084725519434,0.7726084725519434
Y21_XZAbsDiff,carat,0.9451491753879878,0.9451491753879878
Y21_YZAbsDiff,carat,0.9407375056822845,0.9407375056822845
Y21_XYNormalizedDiff,Y21_XYAbsDiff,0.95837075276794,0.95837075276794
Y21_XZNormalizedDiff,depth,-0.9147814830137316,0.9147814830137316
Y21_YZNormalizedDiff,depth,-0.9195692987960314,0.9195692987960314
Y21_XYSymmetryProxy,Y21_XYAbsDiff,-0.9583707527679414,0.9583707527679414
Y21_MeanXY,carat,0.978000645371132,0.978000645371132
Y21_MeanXYZ,carat,0.9792496193523024,0.9792496193523024
Y21_MaxDimension,carat,0.9779214734476828,0.9779214734476828
Y21_MinDimension,carat,0.9766906677662749,0.9766906677662749
Y21_DimensionRange,carat,0.9453127401766047,0.9453127401766047
Y21_DimensionStd,carat,0.9450425154533153,0.9450425154533153
Y21_DimensionCV,depth,-0.9438995233205432,0.9438995233205432
Y21_XPerCaratCubeRoot,depth,-0.7919100201916792,0.7919100201916792
Y21_YPerCaratCubeRoot,depth,-0.7587923004765614,0.7587923004765614
Y21_ZPerCaratCubeRoot,depth,0.7857112465303996,0.7857112465303996
Y21_MeanXYPerCaratCubeRoot,depth,-0.830270743161229,0.830270743161229
Y21_CaratPerVolume,Y21_MeanXYZPerCaratCubeRoot,-0.8307645698258175,0.8307645698258175
Y21_VolumePerCarat,Y21_MeanXYZPerCaratCubeRoot,0.9551100887437486,0.9551100887437486
Y21_CaratPerFaceArea,carat,0.970888719303249,0.970888719303249
Y21_FaceAreaPerCarat,carat,-0.9185228520662844,0.9185228520662844
Y21_CaratPerMeanDimension,carat,0.9945612761391693,0.9945612761391693
Y21_CalculatedDepthPct,depth,0.9511996940567718,0.9511996940567718
Y21_DepthTableRatio,table,-0.8998747735335025,0.8998747735335025
Y21_TableDepthRatio,table,0.8990920723150722,0.8990920723150722
Y21_DepthToFaceDiagonal,depth,0.9515364337357421,0.9515364337357421
Y21_DepthToFaceArea,carat,-0.9145805725083178,0.9145805725083178
Y21_Compactness,Y21_MeanXYZPerCaratCubeRoot,-0.9845160373819616,0.9845160373819616
Y21_VolumeToMeanCube,depth,0.8666064385183241,0.8666064385183241
Y21_DepthTimesTable,table,0.8133425011028413,0.8133425011028413
Y21_CaratTimesDepth,carat,0.9987133279507763,0.9987133279507763
Y21_CaratTimesTable,carat,0.9972487036650209,0.9972487036650209
Y21_CaratTimesXYAsymmetry,Y21_XYAbsDiff,0.8905739100444937,0.8905739100444937
Y21_VolumeTimesDepth,carat,0.9987308895695483,0.9987308895695483
Y21_FaceAreaTimesDepth,carat,0.9942200946612567,0.9942200946612567
