Feature_A,Feature_B,Correlation,Absolute_Correlation
Y21_XYNormalizedDiff,Y21_XYSymmetryProxy,-1.0000000000000053,1.0000000000000053
z,Y21_MinDimension,0.9999999310602724,0.9999999310602724
Y21_FaceDiagonal,Y21_MeanXY,0.9999994057359727,0.9999994057359727
Y21_CalculatedDepthPct,Y21_DepthToFaceDiagonal,0.9999531053268182,0.9999531053268182
Y21_FaceDiagonal,Y21_MaxDimension,0.999901430370741,0.999901430370741
Y21_MeanXY,Y21_MaxDimension,0.999890138564772,0.999890138564772
x,Y21_MaxDimension,0.9996972440900171,0.9996972440900171
x,Y21_FaceDiagonal,0.9996856937718016,0.9996856937718016
x,Y21_MeanXY,0.9996762043515215,0.9996762043515215
y,Y21_MeanXY,0.9996715022068953,0.9996715022068953
y,Y21_FaceDiagonal,0.9996607517060487,0.9996607517060487
Y21_DimensionRange,Y21_DimensionStd,0.999647656888526,0.999647656888526
Y21_FaceDiagonal,Y21_MeanXYZ,0.9995067631845039,0.9995067631845039
Y21_MeanXY,Y21_MeanXYZ,0.9995064904792718,0.9995064904792718
y,Y21_MaxDimension,0.9994298646278035,0.9994298646278035
Y21_MeanXYZ,Y21_MaxDimension,0.9994226140879393,0.9994226140879393
x,Y21_MeanXYZ,0.9992211482948817,0.9992211482948817
y,Y21_MeanXYZ,0.9991395841332689,0.9991395841332689
carat,Y21_Volume,0.9989971335452085,0.9989971335452085
Y21_CaratTimesDepth,Y21_VolumeTimesDepth,0.9989919284384882,0.9989919284384882
carat,Y21_VolumeTimesDepth,0.9987308895695483,0.9987308895695483
Y21_Volume,Y21_VolumeTimesDepth,0.9987136393066759,0.9987136393066759
carat,Y21_CaratTimesDepth,0.9987133279507763,0.9987133279507763
x,y,0.9986956428001552,0.9986956428001552
Y21_CaratPerMeanDimension,Y21_FaceAreaTimesDepth,0.9984774658610857,0.9984774658610857
Y21_XZAbsDiff,Y21_DimensionStd,0.9981304603142458,0.9981304603142458
Y21_XZAbsDiff,Y21_DimensionRange,0.9980701651374813,0.9980701651374813
Y21_FaceArea,Y21_FaceAreaTimesDepth,0.9976266049031758,0.9976266049031758
carat,Y21_CaratTimesTable,0.9972487036650209,0.9972487036650209
Y21_YZAbsDiff,Y21_DimensionStd,0.9972148312986103,0.9972148312986103
Y21_Volume,Y21_CaratTimesDepth,0.9966872447705517,0.9966872447705517
Y21_YZAbsDiff,Y21_DimensionRange,0.9962899853059649,0.9962899853059649
Y21_DepthTableRatio,Y21_TableDepthRatio,-0.9962091478734304,0.9962091478734304
Y21_Volume,Y21_CaratTimesTable,0.9955375266374084,0.9955375266374084
Y21_FaceArea,Y21_CaratPerMeanDimension,0.9954217983840589,0.9954217983840589
Y21_FaceArea,Y21_MeanXY,0.9951053399148687,0.9951053399148687
Y21_FaceArea,Y21_FaceDiagonal,0.9951024928162885,0.9951024928162885
Y21_FaceArea,Y21_MaxDimension,0.9949394085399217,0.9949394085399217
Y21_MeanXYZ,Y21_MinDimension,0.994865261335196,0.994865261335196
z,Y21_MeanXYZ,0.9948612271650104,0.9948612271650104
x,Y21_FaceArea,0.9948592059754805,0.9948592059754805
Y21_CaratTimesDepth,Y21_CaratTimesTable,0.9947656428977534,0.9947656428977534
Y21_DimensionCV,Y21_DepthToFaceDiagonal,-0.9947337647722407,0.9947337647722407
y,Y21_FaceArea,0.9947018228563818,0.9947018228563818
carat,Y21_CaratPerMeanDimension,0.9945612761391693,0.9945612761391693
Y21_MeanXYZ,Y21_FaceAreaTimesDepth,0.9945139335332804,0.9945139335332804
Y21_Volume,Y21_FaceAreaTimesDepth,0.9945012740823841,0.9945012740823841
Y21_FaceArea,Y21_MeanXYZ,0.9944632785194227,0.9944632785194227
Y21_VolumeTimesDepth,Y21_FaceAreaTimesDepth,0.9944409450023213,0.9944409450023213
carat,Y21_FaceAreaTimesDepth,0.9942200946612567,0.9942200946612567
Y21_CaratTimesTable,Y21_VolumeTimesDepth,0.9940577136248483,0.9940577136248483
Y21_CaratPerMeanDimension,Y21_CaratTimesDepth,0.9940112800714732,0.9940112800714732
Y21_FaceArea,Y21_Volume,0.9938340456491817,0.9938340456491817
Y21_DimensionCV,Y21_CalculatedDepthPct,-0.9938303099902359,0.9938303099902359
Y21_MinDimension,Y21_CaratPerFaceArea,0.9932220388887674,0.9932220388887674
z,Y21_CaratPerFaceArea,0.9932171138110873,0.9932171138110873
Y21_CaratTimesDepth,Y21_FaceAreaTimesDepth,0.9931364984182584,0.9931364984182584
Y21_MeanXY,Y21_FaceAreaTimesDepth,0.9931323903096064,0.9931323903096064
Y21_FaceDiagonal,Y21_FaceAreaTimesDepth,0.9931295156361369,0.9931295156361369
Y21_CaratPerMeanDimension,Y21_VolumeTimesDepth,0.9930721646149763,0.9930721646149763
Y21_MaxDimension,Y21_FaceAreaTimesDepth,0.993002498661068,0.993002498661068
x,Y21_FaceAreaTimesDepth,0.9929715151735818,0.9929715151735818
Y21_MeanXYZ,Y21_CaratPerMeanDimension,0.9928529422243338,0.9928529422243338
y,Y21_FaceAreaTimesDepth,0.9926442892811163,0.9926442892811163
Y21_Volume,Y21_CaratPerMeanDimension,0.9926053682997393,0.9926053682997393
Y21_MinDimension,Y21_FaceAreaTimesDepth,0.9922795655918591,0.9922795655918591
z,Y21_FaceAreaTimesDepth,0.9922743205568417,0.9922743205568417
carat,Y21_FaceArea,0.992210060680408,0.992210060680408
Y21_CaratPerMeanDimension,Y21_CaratTimesTable,0.991752827282368,0.991752827282368
Y21_MinDimension,Y21_CaratPerMeanDimension,0.9916146502199029,0.9916146502199029
z,Y21_CaratPerMeanDimension,0.9916089721274799,0.9916089721274799
Y21_XZAbsDiff,Y21_YZAbsDiff,0.9915803848054219,0.9915803848054219
x,Y21_CaratPerMeanDimension,0.99127661958539,0.99127661958539
Y21_FaceDiagonal,Y21_MinDimension,0.9911981189853042,0.9911981189853042
Y21_MaxDimension,Y21_MinDimension,0.9911954694081389,0.9911954694081389
Y21_MeanXY,Y21_MinDimension,0.9911950536828388,0.9911950536828388
z,Y21_FaceDiagonal,0.9911928201309319,0.9911928201309319
z,Y21_MaxDimension,0.9911901959523269,0.9911901959523269
z,Y21_MeanXY,0.991189754912348,0.991189754912348
Y21_MaxDimension,Y21_CaratPerMeanDimension,0.9911810602046348,0.9911810602046348
Y21_FaceDiagonal,Y21_CaratPerMeanDimension,0.9911752532931347,0.9911752532931347
Y21_MeanXY,Y21_CaratPerMeanDimension,0.9911659606466486,0.9911659606466486
