Dropped_Feature,Selected_Representative,Correlation,Absolute_Correlation,Dropped_MI,Representative_MI
Y22_Volume,Y22_FaceAreaTimesDepth,0.9945012740823841,0.9945012740823841,0.16410015543477097,0.16453557224771886
Y22_VolumeTimesDepth,Y22_FaceAreaTimesDepth,0.9944409450023213,0.9944409450023213,0.16243211819134484,0.16453557224771886
Y22_FaceAreaPerCarat,Y22_FaceAreaTimesDepth,-0.9487222857024713,0.9487222857024713,0.1501760647803303,0.16453557224771886
Y22_CaratPerFaceArea,Y22_FaceAreaTimesDepth,0.9834128709066142,0.9834128709066142,0.1465819423823398,0.16453557224771886
Y22_DepthToFaceArea,Y22_FaceAreaTimesDepth,-0.9457237359290814,0.9457237359290814,0.14129762265626988,0.16453557224771886
Y22_CaratTimesDepth,Y22_FaceAreaTimesDepth,0.9931364984182584,0.9931364984182584,0.13845611159227644,0.16453557224771886
Y22_CaratPerMeanDimension,Y22_FaceAreaTimesDepth,0.9984774658610857,0.9984774658610857,0.12469280041624264,0.16453557224771886
Y22_FaceDiagonal,Y22_FaceAreaTimesDepth,0.9931295156361369,0.9931295156361369,0.12176222899949574,0.16453557224771886
Y22_FaceArea,Y22_FaceAreaTimesDepth,0.9976266049031758,0.9976266049031758,0.11661289408236808,0.16453557224771886
Y22_MeanXYZPerCaratCubeRoot,Y22_MeanXYPerCaratCubeRoot,0.9208714605849735,0.9208714605849735,0.11134304562090769,0.11268298308270097
Y22_CaratTimesTable,Y22_FaceAreaTimesDepth,0.9900053852023638,0.9900053852023638,0.11036362886596018,0.16453557224771886
Y22_Compactness,Y22_MeanXYPerCaratCubeRoot,-0.9117898224480006,0.9117898224480006,0.10980741452002896,0.11268298308270097
Y22_VolumePerCarat,Y22_MeanXYPerCaratCubeRoot,0.7711772919906521,0.7711772919906521,0.108524636935595,0.11268298308270097
Y22_MeanXYZ,Y22_FaceAreaTimesDepth,0.9945139335332804,0.9945139335332804,0.10659777781120239,0.16453557224771886
Y22_DepthToFaceDiagonal,Y22_ZPerCaratCubeRoot,0.8784771938742644,0.8784771938742644,0.10286890137398608,0.1058320080661348
Y22_YPerCaratCubeRoot,Y22_MeanXYPerCaratCubeRoot,0.9389962604040208,0.9389962604040208,0.10239758150509592,0.11268298308270097
Y22_DimensionCV,Y22_ZPerCaratCubeRoot,-0.8796906694539203,0.8796906694539203,0.10199267706564541,0.1058320080661348
Y22_VolumeToMeanCube,Y22_ZPerCaratCubeRoot,0.8754436613474766,0.8754436613474766,0.10077640073424554,0.1058320080661348
z,Y22_FaceAreaTimesDepth,0.9922743205568417,0.9922743205568417,0.100746355379421,0.16453557224771886
Y22_MaxDimension,Y22_FaceAreaTimesDepth,0.993002498661068,0.993002498661068,0.10031870387979458,0.16453557224771886
Y22_MeanXY,Y22_FaceAreaTimesDepth,0.9931323903096064,0.9931323903096064,0.09886631723980921,0.16453557224771886
Y22_MinDimension,Y22_FaceAreaTimesDepth,0.9922795655918591,0.9922795655918591,0.09588689931010563,0.16453557224771886
carat,Y22_FaceAreaTimesDepth,0.9942200946612567,0.9942200946612567,0.09551063374715385,0.16453557224771886
Y22_CalculatedDepthPct,Y22_ZPerCaratCubeRoot,0.8781550888878493,0.8781550888878493,0.09484161134386682,0.1058320080661348
Y22_DimensionStd,Y22_FaceAreaTimesDepth,0.9587783559205808,0.9587783559205808,0.09024001804140935,0.16453557224771886
y,Y22_FaceAreaTimesDepth,0.9926442892811163,0.9926442892811163,0.08912201675472353,0.16453557224771886
x,Y22_FaceAreaTimesDepth,0.9929715151735818,0.9929715151735818,0.08884353496068043,0.16453557224771886
Y22_XPerCaratCubeRoot,Y22_MeanXYPerCaratCubeRoot,0.9263167060720809,0.9263167060720809,0.08316071659969726,0.11268298308270097
Y22_XYSymmetryProxy,Y22_CaratTimesXYAsymmetry,-0.7542192879993923,0.7542192879993923,0.07906518959543218,0.12001201886874524
Y22_XYNormalizedDiff,Y22_CaratTimesXYAsymmetry,0.7542192879993879,0.7542192879993879,0.07786880363642679,0.12001201886874524
Y22_XZAbsDiff,Y22_FaceAreaTimesDepth,0.958365080232182,0.958365080232182,0.073224595495049,0.16453557224771886
Y22_DimensionRange,Y22_FaceAreaTimesDepth,0.9590688737370046,0.9590688737370046,0.07300479171686058,0.16453557224771886
Y22_YZAbsDiff,Y22_FaceAreaTimesDepth,0.9552092224869709,0.9552092224869709,0.06798549766396045,0.16453557224771886
Y22_YZNormalizedDiff,Y22_ZPerCaratCubeRoot,-0.8458356760401822,0.8458356760401822,0.06554375017189695,0.1058320080661348
Y22_XZNormalizedDiff,Y22_ZPerCaratCubeRoot,-0.8869158324923678,0.8869158324923678,0.06299560810311888,0.1058320080661348
Y22_YZRatio,Y22_ZPerCaratCubeRoot,-0.8250544646904384,0.8250544646904384,0.06187417131288875,0.1058320080661348
Y22_XZRatio,Y22_ZPerCaratCubeRoot,-0.8524279142737387,0.8524279142737387,0.06046518162029679,0.1058320080661348
Y22_TableDepthRatio,Y22_DepthTableRatio,-0.9962091478734304,0.9962091478734304,0.03780529909200636,0.03822442749512067
depth,Y22_MeanXYPerCaratCubeRoot,-0.830270743161229,0.830270743161229,0.028090819653933785,0.11268298308270097
Y22_XYAbsDiff,Y22_CaratTimesXYAsymmetry,0.8905739100444937,0.8905739100444937,0.02406992044216061,0.12001201886874524
table,Y22_DepthTableRatio,-0.8998747735335025,0.8998747735335025,0.012842066078640357,0.03822442749512067
