,carat,depth,table,x,y,z,Y22_FaceArea,Y22_Volume,Y22_FaceDiagonal,Y22_XYRatio,Y22_XZRatio,Y22_YZRatio,Y22_XYAbsDiff,Y22_XZAbsDiff,Y22_YZAbsDiff,Y22_XYNormalizedDiff,Y22_XZNormalizedDiff,Y22_YZNormalizedDiff,Y22_XYSymmetryProxy,Y22_MeanXY,Y22_MeanXYZ,Y22_MaxDimension,Y22_MinDimension,Y22_DimensionRange,Y22_DimensionStd,Y22_DimensionCV,Y22_XPerCaratCubeRoot,Y22_YPerCaratCubeRoot,Y22_ZPerCaratCubeRoot,Y22_MeanXYPerCaratCubeRoot,Y22_MeanXYZPerCaratCubeRoot,Y22_CaratPerVolume,Y22_VolumePerCarat,Y22_CaratPerFaceArea,Y22_FaceAreaPerCarat,Y22_CaratPerMeanDimension,Y22_CalculatedDepthPct,Y22_DepthError,Y22_AbsDepthError,Y22_DepthTableRatio,Y22_TableDepthRatio,Y22_DepthToFaceDiagonal,Y22_DepthToFaceArea,Y22_Compactness,Y22_VolumeToMeanCube,Y22_DepthTimesTable,Y22_CaratTimesDepth,Y22_CaratTimesTable,Y22_CaratTimesXYAsymmetry,Y22_VolumeTimesDepth,Y22_FaceAreaTimesDepth
carat,1.0,0.02996522570634156,0.18237848079040725,0.9781007835167816,0.9772595487698256,0.9766854393033033,0.992210060680408,0.9989971335452085,0.9780048637974399,0.14195095584802028,0.0069941396173879835,-0.0414818081471477,0.2595705625191649,0.9451491753879878,0.9407375056822845,0.010127386525219429,0.00259408553949918,-0.055625426069929776,-0.010127386525218421,0.978000645371132,0.9792496193523024,0.9779214734476828,0.9766906677662749,0.9453127401766047,0.9450425154533153,-0.02826177793215652,-0.11028220439998204,-0.20446830277207703,-0.09389608850590163,-0.17098518144092986,-0.22961592901896863,0.21159372584718625,-0.23950906221656826,0.970888719303249,-0.9185228520662844,0.9945612761391693,0.03032775077154388,-0.0055677258384975855,0.010430935010515462,-0.1271570979168214,0.12667620849706757,0.03030235196638111,-0.9145805725083178,0.23307583788552716,0.019331227550722873,0.19977986953631902,0.9987133279507763,0.9972487036650209,0.5602876138770074,0.9987308895695483,0.9942200946612567
depth,0.02996522570634156,1.0,-0.30275635933208667,-0.02313981688955586,-0.026035232801051588,0.099185564336093,-0.028130384565273076,0.012829197901637994,-0.024591350211686437,0.05243177255212645,-0.7655912981125559,-0.7726084725519434,0.029053403738386312,-0.21315482110363285,-0.22366411966463104,0.03499818322345373,-0.9147814830137316,-0.9195692987960314,-0.0349981832234533,-0.02459032747654351,0.004726293742728503,-0.024040992003181418,0.09918336895198239,-0.21545121614776358,-0.21870545435156982,-0.9438995233205432,-0.7919100201916792,-0.7587923004765614,0.7857112465303996,-0.830270743161229,-0.5791334665770719,0.3018725648138152,-0.34010076073000606,0.14113391456153357,-0.13080348936294167,0.0454724108252085,0.9511996940567718,0.011533961837387127,-0.017611765027033773,0.6843447306837954,-0.687724359173671,0.9515364337357421,0.13201833357359177,0.5872878380221477,0.8666064385183241,0.30747361671593393,0.07442689468936727,0.008678162246895958,0.05187774633020847,0.057466431868981024,0.03671838722000122
table,0.18237848079040725,-0.30275635933208667,1.0,0.19746792673173139,0.19162977564212738,0.1565890340707339,0.19152979954181423,0.1732106726630545,0.19463801479037582,0.1365764609614238,0.26600577300651446,0.21589747733497192,0.14972086977116705,0.2541519229540244,0.2398733155521647,0.10376307815977713,0.3128492657411965,0.2514846503378988,-0.1037630781597764,0.19462284483475695,0.18591300494692292,0.19611411438698062,0.15658921429747621,0.2508577614476122,0.24785023395883446,0.28980891892385585,0.06216020275917055,-0.04337456446628057,-0.4394723150766568,0.007492261919073333,-0.18136907673192335,0.2482604806045231,-0.2813470201445204,0.1850379147466408,-0.18526538072993748,0.19092482717106127,-0.28784408862331706,-0.003938089498880376,0.00030430575339817896,-0.8998747735335025,0.8990920723150722,-0.28806598742299727,-0.22728177450210557,0.18793807718779587,-0.2767684971465685,0.8133425011028413,0.16929318434455154,0.24463936889109686,0.1670696596281979,0.16011533573607348,0.17221799970758622
x,0.9781007835167816,-0.02313981688955586,0.19746792673173139,1.0,0.9986956428001552,0.9910302731578735,0.9948592059754805,0.9793471589481153,0.9996856937718016,0.15977681062976856,0.05306463611662959,-0.002176504918972548,0.2719595008732611,0.9780476902520059,0.9726009053972307,0.017036647830446557,0.05697346311768622,-0.009327469646801265,-0.017036647830445895,0.9996762043515215,0.9992211482948817,0.9996972440900171,0.9910355905591929,0.9779135139178763,0.9775642997672287,0.023836135371407316,-0.055329793775957474,-0.16753764630295162,-0.13433559326442512,-0.1221814660646917,-0.19309492933165945,0.1918246554074847,-0.21509260082922657,0.9804670864696755,-0.9642392657711931,0.99127661958539,-0.021721386756891888,-0.0012040397536231737,0.010197921575392234,-0.16266101107974684,0.1626301337116964,-0.021799778724865174,-0.9754304038418415,0.1969199133881127,-0.028882685839174242,0.1824589012108978,0.9740133416695326,0.9754741895694401,0.5517037099280356,0.9762570292425344,0.9929715151735818
y,0.9772595487698256,-0.026035232801051588,0.19162977564212738,0.9986956428001552,1.0,0.9907015221415155,0.9947018228563818,0.9788868548022284,0.9996607517060487,0.11025198047059813,0.0467168190201462,0.007778520354782661,0.25486250103135977,0.9752681761358954,0.9764458436213792,-0.00044878970554260383,0.049565765811284926,0.0029551652365656434,0.000448789705543309,0.9996715022068953,0.9991395841332689,0.9994298646278035,0.9907067986776525,0.9777513931266858,0.977738554572566,0.024755830102528298,-0.06795555406099497,-0.14459714209379515,-0.13240662008448004,-0.11578538849578789,-0.18518896517013178,0.18346263831321222,-0.20727240034652852,0.9788760862735906,-0.963411016033913,0.9904056486640251,-0.02426072936287648,-0.001933412514058381,0.008262689745128114,-0.15969837015414615,0.1592922365756276,-0.024174403017084633,-0.9760539358868447,0.18747296427503105,-0.029748397056221225,0.17496167764469442,0.9730359378697019,0.9742367229532768,0.5355629928944912,0.9756669113060761,0.9926442892811163
z,0.9766854393033033,0.099185564336093,0.1565890340707339,0.9910302731578735,0.9907015221415155,1.0,0.9857016798549547,0.9762313959207258,0.9911928201309319,0.1402844113493499,-0.0682170300053577,-0.11548263598313535,0.26823476848343536,0.9414277426141933,0.9380112394202744,0.01547208068044499,-0.07477347314093152,-0.13092027087789787,-0.015472080680444157,0.991189754912348,0.9948612271650104,0.9911901959523269,0.9999999310602724,0.9424473493053275,0.9418436616784539,-0.10574693068315827,-0.1626938650855247,-0.2511335541924278,-0.0184137071608111,-0.22394393527154324,-0.25560924374412575,0.20492357995311133,-0.24350429769961898,0.9932171138110873,-0.9749510939452131,0.9916089721274799,0.10754645952434139,-0.04163412459503388,-0.0041710336154854285,-0.07624598090484432,0.07548148815328602,0.10755020944742293,-0.9534574637428215,0.25908998773014674,0.09680688324572813,0.21637121730758052,0.9785703416798828,0.9709860789844595,0.5501645609161194,0.9791321534509124,0.9922743205568417
Y22_FaceArea,0.992210060680408,-0.028130384565273076,0.19152979954181423,0.9948592059754805,0.9947018228563818,0.9857016798549547,1.0,0.9938340456491817,0.9951024928162885,0.1339783427823779,0.05240474440676582,0.005556931978948386,0.2585548332377079,0.9733845671687303,0.970877272899532,0.004541503723625516,0.05648446175129791,0.0003132830675159721,-0.004541503723624785,0.9951053399148687,0.9944632785194227,0.9949394085399217,0.985707012002578,0.9742141648484105,0.9741432835665793,0.027574107349474162,-0.054066702724679346,-0.14860452824984477,-0.13219269930942887,-0.11092631594200576,-0.1797229299166765,0.17926449688953772,-0.20221618547978434,0.97384150223686,-0.9408264180158428,0.9954217983840589,-0.0265480652007346,-0.0010034902838067833,0.008270873198134866,-0.1604571650273526,0.16024248742122071,-0.026526167695817192,-0.9538797613373637,0.18230276192470335,-0.032141788068158844,0.17349348120552885,0.9876884887655935,0.9896663690942914,0.5488462566722629,0.9903263239039811,0.9976266049031758
Y22_Volume,0.9989971335452085,0.012829197901637994,0.1732106726630545,0.9793471589481153,0.9788868548022284,0.9762313959207258,0.9938340456491817,1.0,0.9794347778069803,0.13431924025127484,0.010904471905391528,-0.03552607998440297,0.2541070395656597,0.949007368034159,0.945605445467515,0.004086271053021999,0.012963754184685018,-0.042531825252011886,-0.004086271053021108,0.9794372682464106,0.9802401267039769,0.9792684548938659,0.9762354740316372,0.9494239800563639,0.9492939527225746,-0.01626372403403799,-0.08226369276165683,-0.17431645806448814,-0.08860155521925885,-0.13975745981341203,-0.19279588444710816,0.17462622655266993,-0.20324821929409842,0.9654905972623866,-0.9143420792958566,0.9926053682997393,0.017118218874735094,-0.015779265118876937,0.00044429586914253907,-0.12796939080004616,0.12748717837726686,0.01714856071960459,-0.9171244160834414,0.19498292545262758,0.011464474049447788,0.1802038092415062,0.9966872447705517,0.9955375266374084,0.553055699723629,0.9987136393066759,0.9945012740823841
Y22_FaceDiagonal,0.9780048637974399,-0.024591350211686437,0.19463801479037582,0.9996856937718016,0.9996607517060487,0.9911928201309319,0.9951024928162885,0.9794347778069803,1.0,0.13565937271212128,0.0499742544440252,0.0027029401696177916,0.26430114239178953,0.9770007439289807,0.9748021233596462,0.00915839154246495,0.05334635498921058,-0.003327816081264684,-0.009158391542464296,0.9999994057359727,0.9995067631845039,0.999901430370741,0.9911981189853042,0.9781754867407767,0.9779859176204487,0.02437573867474745,-0.06156184438371335,-0.15634245152675333,-0.13343355069098115,-0.11909620687517408,-0.18929361960941868,0.18789589014539226,-0.21132167231126064,0.9800227849530813,-0.9641506087761655,0.9911752532931347,-0.022962002300311913,-0.00167471586728593,0.009461871287200198,-0.16124943314169954,0.16103231326316098,-0.02296877125731992,-0.9760541836645873,0.19244632683056057,-0.02937658602977332,0.17879640880797146,0.9738484157827263,0.9751807485334177,0.5445171515133415,0.9762790248240506,0.9931295156361369
Y22_XYRatio,0.14195095584802028,0.05243177255212645,0.1365764609614238,0.15977681062976856,0.11025198047059813,0.1402844113493499,0.1339783427823779,0.13431924025127484,0.13565937271212128,1.0,0.13123195767249335,-0.1941387404386282,0.42906791361363117,0.18444330119663035,0.05838938479704914,0.41061654119350977,0.1505551954465468,-0.24304322678416082,-0.41061654119351304,0.1351477105831386,0.13658167675671568,0.14117831799510563,0.14028598297722708,0.1375857562950684,0.13081665428143258,-0.005832124372436624,0.22929016979249786,-0.4754464086688404,-0.06134193468298243,-0.1491239331735542,-0.1913904742164017,0.21033838084310577,-0.19153201188005128,0.16598741154110377,-0.15409734087123936,0.14821106972312834,0.047687129148494344,0.007688289572225188,0.05654785853608727,-0.07775699400213526,0.08408412377663652,0.04343819197514236,-0.12525192529558313,0.2308621421017575,0.006657362429558208,0.16653585097750326,0.1438849690116005,0.14833267198443606,0.43791180631520826,0.13626571979304986,0.13688383119281639
