Feature,Mutual_Information,MI_Rank
Y22_FaceAreaTimesDepth,0.16453557224771886,1
Y22_Volume,0.16410015543477097,2
Y22_VolumeTimesDepth,0.16243211819134484,3
Y22_FaceAreaPerCarat,0.1501760647803303,4
Y22_CaratPerFaceArea,0.1465819423823398,5
Y22_DepthToFaceArea,0.14129762265626988,6
Y22_CaratTimesDepth,0.13845611159227644,7
Y22_CaratPerMeanDimension,0.12469280041624264,8
Y22_FaceDiagonal,0.12176222899949574,9
Y22_CaratTimesXYAsymmetry,0.12001201886874524,10
Y22_FaceArea,0.11661289408236808,11
Y22_MeanXYPerCaratCubeRoot,0.11268298308270097,12
Y22_MeanXYZPerCaratCubeRoot,0.11134304562090769,13
Y22_CaratTimesTable,0.11036362886596018,14
Y22_Compactness,0.10980741452002896,15
Y22_VolumePerCarat,0.108524636935595,16
Y22_CaratPerVolume,0.10734045312170482,17
Y22_MeanXYZ,0.10659777781120239,18
Y22_ZPerCaratCubeRoot,0.1058320080661348,19
Y22_DepthToFaceDiagonal,0.10286890137398608,20
Y22_YPerCaratCubeRoot,0.10239758150509592,21
Y22_DimensionCV,0.10199267706564541,22
Y22_VolumeToMeanCube,0.10077640073424554,23
z,0.100746355379421,24
Y22_MaxDimension,0.10031870387979458,25
Y22_MeanXY,0.09886631723980921,26
Y22_MinDimension,0.09588689931010563,27
carat,0.09551063374715385,28
Y22_CalculatedDepthPct,0.09484161134386682,29
Y22_DimensionStd,0.09024001804140935,30
y,0.08912201675472353,31
x,0.08884353496068043,32
Y22_DepthError,0.08860452103975325,33
Y22_XPerCaratCubeRoot,0.08316071659969726,34
Y22_AbsDepthError,0.0820625046016743,35
Y22_XYSymmetryProxy,0.07906518959543218,36
Y22_XYNormalizedDiff,0.07786880363642679,37
Y22_XZAbsDiff,0.073224595495049,38
Y22_DimensionRange,0.07300479171686058,39
Y22_XYRatio,0.0723319495883965,40
Y22_YZAbsDiff,0.06798549766396045,41
Y22_YZNormalizedDiff,0.06554375017189695,42
Y22_XZNormalizedDiff,0.06299560810311888,43
Y22_YZRatio,0.06187417131288875,44
Y22_XZRatio,0.06046518162029679,45
Y22_DepthTimesTable,0.04099612827332688,46
Y22_DepthTableRatio,0.03822442749512067,47
Y22_TableDepthRatio,0.03780529909200636,48
depth,0.028090819653933785,49
Y22_XYAbsDiff,0.02406992044216061,50
table,0.012842066078640357,51
