number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_norm,params_batch_size,params_dropout,params_l2,params_learning_rate,params_monotonic_penalty,params_n_layers,params_patience,params_units_0,params_units_1,params_units_2,params_units_3,user_attrs_accuracy,user_attrs_balanced_accuracy,user_attrs_best_epoch,user_attrs_mcc,user_attrs_ordinal_mae,user_attrs_severe_error,user_attrs_within_one,system_attrs_tpe:relative_params:0,state
0,0.08131252052970744,2026-09-19 12:45:20.611009,2026-09-19 12:47:34.135859,0 days 00:02:13.524850,relu,False,64,0.07800932022121826,6.025215736203855e-07,0.00012551115172973836,1.7323522915498704,2,12,32,320.0,,,0.07925321463897131,0.37888048973112726,48,0.04060136852583851,1.5482195845697329,0.48553412462908013,0.5144658753709199,,COMPLETE
1,0.10741931371889415,2026-09-19 12:47:34.136039,2026-09-19 12:48:40.468673,0 days 00:01:06.332634,gelu,True,512,0.06974693032602092,2.8888383623653188e-06,0.0004192159350410976,0.9121399684340719,3,24,192,192.0,32.0,,0.11486152324431256,0.3844803501611649,22,0.052903765477425126,1.4875123639960435,0.46228981206726016,0.5377101879327398,,COMPLETE
2,0.0823480825024385,2026-09-19 12:48:40.468773,2026-09-19 12:51:26.628384,0 days 00:02:46.159611,gelu,True,128,0.22007624686980065,4.075596440072867e-07,0.00069389014127394,0.06877704223043679,4,24,224,128.0,192.0,192.0,0.07987141444114738,0.371561527638827,18,0.04478948055943487,1.5572453016815035,0.49394164193867457,0.5060583580613254,,COMPLETE
3,0.10308645815117248,2026-09-19 12:51:26.628541,2026-09-19 12:51:58.841069,0 days 00:00:32.212528,relu,True,256,0.022613644455269033,4.233032996527592e-06,0.00045745782054754043,0.5426980635477918,3,8,96,192.0,64.0,,0.1006429277942631,0.3812842311160892,9,0.052872703500956526,1.497032640949555,0.46698813056379823,0.5330118694362018,,COMPLETE
4,0.06955097350280666,2026-09-19 12:51:58.841148,2026-09-19 12:53:00.124413,0 days 00:01:01.283265,relu,True,512,0.38563517334297287,2.34543422772605e-07,0.0004064644058668378,0.23173811905025943,1,20,128,,,,0.07678041543026706,0.3716710838875447,77,0.0355033628000786,1.5823442136498516,0.5043273986152325,0.49567260138476754,,COMPLETE
5,0.0491801299468687,2026-09-19 12:53:00.124610,2026-09-19 13:24:47.462521,0 days 00:31:47.337911,gelu,True,256,0.3803925243084487,6.403036652671171e-05,0.002041033406525706,0.9875911927287815,4,16,32,64.0,32.0,224.0,0.04735410484668645,0.35798382366541703,54,0.03652283531015771,1.6131305637982196,0.5123639960435212,0.4876360039564787,,COMPLETE
6,0.05851313437982826,2026-09-19 13:24:47.462751,2026-09-19 13:41:36.205720,0 days 00:16:48.742969,gelu,True,64,0.08061064362700221,0.004451314315649213,0.0023603276001278087,1.266807513020847,4,16,64,288.0,192.0,288.0,0.053288822947576656,0.3623724171821056,86,0.040961144220005234,1.6117705242334321,0.5124876360039565,0.48751236399604353,,COMPLETE
7,0.08546416125990816,2026-09-19 13:41:36.205966,2026-09-19 13:46:10.292949,0 days 00:04:34.086983,relu,True,64,0.2087055015743895,1.2898495377182652e-06,0.00015982608583855863,0.6752303428072559,4,12,192,256.0,128.0,320.0,0.09310089020771513,0.36989989141814944,17,0.03575775561803106,1.5155786350148368,0.47279920870425324,0.5272007912957468,,COMPLETE
8,0.042174954800394085,2026-09-19 13:46:10.293226,2026-09-19 13:49:12.763292,0 days 00:03:02.470066,relu,False,128,0.13932323211830572,0.003477998816092341,0.0002552751067201735,0.2897897441824462,1,12,96,,,,0.046859545004945595,0.357410281613957,72,0.03345796862112445,1.6519535113748764,0.5358555885262116,0.4641444114737883,,COMPLETE
9,0.04411672628657519,2026-09-19 13:49:12.763721,2026-09-19 13:52:20.876212,0 days 00:03:08.112491,relu,False,256,0.417651247794619,4.016986062226067e-06,0.00020743849572942255,0.08155028310952783,3,24,32,192.0,96.0,,0.044757665677546986,0.36006435138115506,69,0.03545050655647086,1.625494559841741,0.5186696340257171,0.4813303659742829,,COMPLETE
