Model,Class,Support,Precision,Recall,Specificity,F1,ROC_AUC,PR_AUC,TP,FP,FN,TN
Ordinal Random Forest,I,111,0.49056603773584906,0.23423423423423423,0.9966152688980819,0.3170731707317073,0.9156657597800885,0.3199202927533967,26,27,85,7950
Ordinal Random Forest,SI,3337,0.6005434782608695,0.7947258016182199,0.6287097453167754,0.684122275248291,0.7862938433477753,0.7067662785254525,2652,1764,685,2987
Ordinal Random Forest,VS,3064,0.6086543033761294,0.4177545691906005,0.8361863057324841,0.49545190632862396,0.6909522282599657,0.602342433869297,1280,823,1784,4201
Ordinal Random Forest,VVS,1308,0.48205128205128206,0.43119266055045874,0.9106194690265487,0.4552058111380145,0.7929438648480418,0.4613326316536377,564,606,744,6174
Ordinal Random Forest,IF,268,0.2832369942196532,0.3656716417910448,0.9682864450127877,0.31921824104234525,0.8671773008359736,0.2482187123046598,98,248,170,7572
Ordinal XGBoost,I,111,0.5625,0.40540540540540543,0.9956123856086248,0.4712041884816754,0.9161367083518268,0.44982997839723154,45,35,66,7942
Ordinal XGBoost,SI,3337,0.6305623471882641,0.7728498651483369,0.6819616922753104,0.6944930658408509,0.7951912336547668,0.7158577159390731,2579,1511,758,3240
Ordinal XGBoost,VS,3064,0.6375,0.4494125326370757,0.8441480891719745,0.5271822358346095,0.7071201834328382,0.6161531181357146,1377,783,1687,4241
Ordinal XGBoost,VVS,1308,0.49246575342465754,0.5496941896024465,0.8907079646017699,0.5195086705202312,0.8049082456045393,0.5171724351119351,719,741,589,6039
Ordinal XGBoost,IF,268,0.3422818791946309,0.3805970149253731,0.9749360613810741,0.36042402826855124,0.8532200729091116,0.27305448044720126,102,196,166,7624
