Feature,Mutual_Information
Y23_FaceAreaTimesDepth,0.16453557224771886
Y23_Volume,0.16410015543477097
Y23_VolumeTimesDepth,0.16243211819134484
Y23_FaceAreaPerCarat,0.1501760647803303
Y23_CaratPerFaceArea,0.1465819423823398
Y23_DepthToFaceArea,0.14129762265626988
Y23_CaratTimesDepth,0.13845611159227644
Y23_CaratPerMeanDimension,0.12469280041624264
Y23_FaceDiagonal,0.12176222899949574
Y23_CaratTimesXYAsymmetry,0.12001201886874524
Y23_FaceArea,0.11661289408236808
Y23_MeanXYPerCaratCubeRoot,0.11268298308270097
Y23_MeanXYZPerCaratCubeRoot,0.11134304562090769
Y23_CaratTimesTable,0.11036362886596018
Y23_Compactness,0.10980741452002896
Y23_VolumePerCarat,0.108524636935595
Y23_CaratPerVolume,0.10734045312170482
Y23_MeanXYZ,0.10659777781120239
Y23_ZPerCaratCubeRoot,0.1058320080661348
Y23_DepthToFaceDiagonal,0.10286890137398608
Y23_YPerCaratCubeRoot,0.10239758150509592
Y23_DimensionCV,0.10199267706564541
Y23_VolumeToMeanCube,0.10077640073424554
z,0.100746355379421
Y23_MaxDimension,0.10031870387979458
Y23_MeanXY,0.09886631723980921
Y23_MinDimension,0.09588689931010563
carat,0.09551063374715385
Y23_CalculatedDepthPct,0.09484161134386682
Y23_DimensionStd,0.09024001804140935
y,0.08912201675472353
x,0.08884353496068043
Y23_DepthError,0.08860452103975325
Y23_XPerCaratCubeRoot,0.08316071659969726
Y23_AbsDepthError,0.0820625046016743
Y23_XYSymmetryProxy,0.07906518959543218
Y23_XYNormalizedDiff,0.07786880363642679
Y23_XZAbsDiff,0.073224595495049
Y23_DimensionRange,0.07300479171686058
Y23_XYRatio,0.0723319495883965
Y23_YZAbsDiff,0.06798549766396045
Y23_YZNormalizedDiff,0.06554375017189695
Y23_XZNormalizedDiff,0.06299560810311888
Y23_YZRatio,0.06187417131288875
Y23_XZRatio,0.06046518162029679
Y23_DepthTimesTable,0.04099612827332688
Y23_DepthTableRatio,0.03822442749512067
Y23_TableDepthRatio,0.03780529909200636
depth,0.028090819653933785
Y23_XYAbsDiff,0.02406992044216061
table,0.012842066078640357
