number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_accuracy,user_attrs_balanced_accuracy,user_attrs_mcc,user_attrs_ordinal_mae,user_attrs_severe_error,user_attrs_within_one,system_attrs_tpe:relative_params:0,state
0,0.39366159524464583,2026-09-19 11:28:37.170966,2026-09-19 11:35:49.918035,0 days 00:07:12.747069,False,gini,32.0,0.75,,3,17,800,0.5249752720079129,0.4185309506098986,0.2930829194974613,0.6037339268051434,0.11337784371909002,0.88662215628091,,COMPLETE
1,0.09384614875756105,2026-09-19 11:35:49.918265,2026-09-19 11:36:18.777150,0 days 00:00:28.858885,False,entropy,6.0,log2,,1,5,300,0.10867952522255193,0.38516527823733554,0.05679138171892033,1.5409248269040554,0.4944362017804154,0.5055637982195845,,COMPLETE
2,0.3357977260333039,2026-09-19 11:36:18.777370,2026-09-19 11:36:45.816233,0 days 00:00:27.038863,True,gini,,sqrt,0.6783931449676581,10,20,300,0.4615479723046489,0.4399411837869497,0.24103048575389177,0.7182245301681504,0.1554154302670623,0.8445845697329377,,COMPLETE
3,0.41601640941614093,2026-09-19 11:36:45.816484,2026-09-19 11:38:36.389174,0 days 00:01:50.572690,False,entropy,32.0,log2,,3,16,500,0.5239861523244312,0.449293518624298,0.30145065963441053,0.6104104846686449,0.11708704253214638,0.8829129574678536,,COMPLETE
4,0.4117149175151516,2026-09-19 11:38:36.389698,2026-09-19 11:41:35.197249,0 days 00:02:58.807551,False,gini,32.0,0.75,,2,10,300,0.547106824925816,0.41274040528485917,0.3110220210139794,0.5621909000989119,0.0966864490603363,0.9033135509396637,,COMPLETE
5,0.34255443187114976,2026-09-19 11:41:35.197439,2026-09-19 11:42:27.162004,0 days 00:00:51.964565,True,gini,14.0,0.5,0.9485842360750871,1,6,200,0.4687190900098912,0.4430502636285187,0.25198369099069884,0.7224282888229476,0.16159742828882295,0.838402571711177,,COMPLETE
6,0.407281620684223,2026-09-19 11:42:27.162183,2026-09-19 11:51:19.219517,0 days 00:08:52.057334,True,entropy,,1.0,0.7292811728083021,7,2,1000,0.5241097922848664,0.43403614264885026,0.29718163521926044,0.6060830860534124,0.11374876360039565,0.8862512363996043,,COMPLETE
7,0.3294266031183748,2026-09-19 11:51:19.219733,2026-09-19 11:57:24.606374,0 days 00:06:05.386641,False,gini,24.0,1.0,,4,2,500,0.4533877349159248,0.35279588990058663,0.18509598206964115,0.6958456973293768,0.1306874381800198,0.8693125618199802,,COMPLETE
8,0.4399586234833809,2026-09-19 11:57:24.606567,2026-09-19 12:00:19.219965,0 days 00:02:54.613398,False,entropy,24.0,log2,,1,5,800,0.5590999010880316,0.4311825449598441,0.3296066862979213,0.5483432245301681,0.09409000989119684,0.9059099901088031,,COMPLETE
9,0.3216794069161083,2026-09-19 12:00:19.220190,2026-09-19 12:06:10.163987,0 days 00:05:50.943797,True,entropy,14.0,1.0,0.8532405829093072,7,17,800,0.4391691394658754,0.45176064570230945,0.22757539262495816,0.7776953511374877,0.1827398615232443,0.8172601384767557,,COMPLETE
10,0.3355841160376506,2026-09-19 12:06:10.164205,2026-09-19 12:09:05.933683,0 days 00:02:55.769478,False,entropy,24.0,log2,,12,6,1000,0.4553659742828882,0.4697544801595144,0.2433446954986209,0.7378832838773491,0.16468842729970326,0.8353115727002968,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": ""log2"", ""min_samples_leaf"": 12, ""min_samples_split"": 6, ""n_estimators"": 1000}",COMPLETE
11,0.4052750488133071,2026-09-19 12:09:05.933872,2026-09-19 12:09:45.605880,0 days 00:00:39.672008,False,entropy,32.0,log2,,5,14,200,0.515702274975272,0.4523316616457592,0.29669312654643243,0.6273491592482691,0.12425816023738873,0.8757418397626113,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 14, ""n_estimators"": 200}",COMPLETE
12,0.4217368608291901,2026-09-19 12:09:45.606084,2026-09-19 12:11:28.378045,0 days 00:01:42.771961,False,entropy,32.0,log2,,5,11,800,0.5248516320474778,0.461320297221003,0.30729660646911927,0.6106577645895154,0.11795252225519288,0.8820474777448071,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 800}",COMPLETE
13,0.3861208902203514,2026-09-19 12:11:28.378234,2026-09-19 12:12:02.276451,0 days 00:00:33.898217,True,entropy,32.0,log2,0.6078409928449494,5,7,800,0.5107566765578635,0.41973099083045573,0.28828115651276526,0.6283382789317508,0.1211671612265084,0.8788328387734916,"{""bootstrap"": true, ""criterion"": ""entropy"", ""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 7, ""n_estimators"": 800}",COMPLETE
14,0.4327861975284074,2026-09-19 12:12:02.276548,2026-09-19 12:13:28.199376,0 days 00:01:25.922828,False,entropy,24.0,log2,,3,5,900,0.5448813056379822,0.445158729567248,0.3221941327336196,0.5782640949554896,0.10731948565776459,0.8926805143422354,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": ""log2"", ""min_samples_leaf"": 3, ""min_samples_split"": 5, ""n_estimators"": 900}",COMPLETE
15,0.34242370365774427,2026-09-19 12:13:28.199536,2026-09-19 12:20:33.042071,0 days 00:07:04.842535,False,entropy,24.0,1.0,,2,8,900,0.4657517309594461,0.3728413732370412,0.2080598546760337,0.6787833827893175,0.1269782393669634,0.8730217606330366,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 900}",COMPLETE
16,0.14651368314082208,2026-09-19 12:20:33.042243,2026-09-19 12:21:32.985173,0 days 00:00:59.942930,False,entropy,6.0,0.5,,1,5,600,0.16839762611275966,0.4054094852151529,0.07398446848265029,1.3495301681503462,0.4072700296735905,0.5927299703264095,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 600}",COMPLETE
17,0.4203408834137693,2026-09-19 12:21:32.985345,2026-09-19 12:23:04.238960,0 days 00:01:31.253615,False,entropy,24.0,log2,,4,2,900,0.5309099901088031,0.45150855570162873,0.31048441010692013,0.6039812067260139,0.11646884272997032,0.8835311572700296,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 24, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 900}",COMPLETE
18,0.3654651983891858,2026-09-19 12:23:04.239089,2026-09-19 12:24:41.437040,0 days 00:01:37.197951,False,entropy,18.0,log2,,1,3,1000,0.4987636003956479,0.4369685200430801,0.2799563931234222,0.6632047477744807,0.13835311572700296,0.8616468842729971,"{""bootstrap"": false, ""criterion"": ""entropy"", ""max_depth"": 18, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""n_estimators"": 1000}",COMPLETE
